"Airline","Comments","Country","ICAO","Call sign"
"Air Xpress, Inc.","","United States","ARX","AIREX"
"Air Tchad","","Chad","HTT","HOTEL TANGO"
"Air Resorts","","United States","ARZ","AIR RESORTS"
"Air-Spray 1967 Ltd.","","Canada","ASB","AIR SPRAY"
"Air Star Corporation","","Canada","ASC","AIR STAR"
"Air Sinai","","Egypt","ASD","AIR SINAI"
"Air Queensland","defunct","Australia","AQN","BUSHAIR"
"Air Routing International Corp.","","United States","ARC",""
"Air Armenia","","Armenia","ARR","AIR ARMENIA"
"Air Contractors","Former IATA Code: AG; former name: Hunting Air Cargo Airlines","Ireland","ABR","CONTRACT"
"Air Illinois","defunct","United States","AIL","AIR ILLINOIS"
"Air India Limited","","India","AIC","AIRINDIA"
"Air Inter Gabon","","Gabon","AIG",""
"Air Saint Pierre","","France","SPM","SAINT-PIERRE"
"Air Southwest","defunct","United Kingdom","WOW","SWALLOW"
"Air Traffic GmbH","","Germany","ATJ","SNOOPY"
"Air Transport International","","United States","ATN","AIR TRANSPORT"
"Air Transport Schiphol","","Netherlands","ATQ","MULTI"
"Air Transport Service","","Democratic Republic of the Congo","ATS",""
"Air Falcon","","Djibouti","AVG","DJIBOUTI FALCON"
"Air Uganda International Ltd.","","Uganda","AUX",""
"Air Vanuatu","","Vanuatu","AVN","AIR VAN"
"Air Bourbon","defunct","Reunion","BUB","BOURBON"
"Air Atlanta Icelandic","","Iceland","ABD","ATLANTA"
"Air Inuit","","Canada","AIE","AIR INUIT"
"Air Sureste","","Spain","AIS","SURESTE"
"Air Srpska","defunct","Bosnia and Herzegovina","SBK","Air Srpska"
"Air Tahiti Nui","","France","THT","TAHITI AIRLINES"
"Air Namibia","","Namibia","NMB","NAMIBIA"
"Air Intersalonika","","Greece","NSK","INTERSALONIKA"
"Air Anatolia","defunct","Turkey","NTL","AIR ANATOLIA"
"Air Saigon","","Vietnam","SGA","AIR SAIGON"
"Afrique Regional Airways","defunct","Côte d'Ivoire","AFW","AFRAIR"
"Africa World Airlines","","Ghana","AFW","BLACKSTAR"
"Air Charters","defunct","Canada","ACX","PARAIR"
"Air Europe Italy","defunct","Italy","AEL","AIR EUROPE"
"Air Jamaica","merged into Caribbean Airlines; ICAO and IATA codes no longer used.","Jamaica","AJM","JAMAICA"
"Air Niamey","","Niger","AWN","AIR NIAMEY"
"Air West","","Canada","AWT","AIR WEST"
"Air Wales","defunct, ICAO code no longer allocated","United Kingdom","AWW","RED DRAGON"
"Air Caraïbes","","France","FWI","FRENCH WEST"
"Air India Express","","India","AXB","EXPRESS INDIA"
"Air Express","","Sudan","AXD","AIR SUDEX"
"Air Wings","","Moldova","BSB","ARBAS"
"Air Baltic","","Latvia","BTI","AIRBALTIC"
"Air Atlantic (Nig) Limited","","Nigeria","ANI","NIGALANTIC"
"Air Nippon","merged into All Nippon Airways, ICAO code no longer allocated","Japan","ANK","ANK AIR"
"Air Nostrum","","Spain","ANE","AIR NOSTRUM"
"Air Niugini","","Papua New Guinea","ANG","NUIGINI"
"Air Arabia","","United Arab Emirates","ABY","ARABIA"
"Air Canada","","Canada","ACA","AIR CANADA"
"Air One","","Italy","ADH","HERON"
"Air Memphis","","Egypt","MHS","AIR MEMPHIS"
"Air Exel","defunct","Netherlands","AXL","EXEL COMMUTER"
"Air Zermatt AG","","Switzerland","AZF","AIR ZERMATT"
"Air Zimbabwe","","Zimbabwe","AZW","AIR ZIMBABWE"
"Air Memphis","","Uganda","MHU","MEPHIS UGANDA"
"Air Marrakech Service","","Morocco","MKH","AIR MARRAKECH"
"Air Max Africa","defunct","Gabon","AZX","AZIMA"
"Air Sahara","renamed to Jetlite","India","RSH","SAHARA"
"Air Transport Association","","United States","ATA",""
"Air Tanzania","","Tanzania","ATC","TANZANIA"
"Air Charter World","","United States","XAC",""
"Air Burkina","","Burkina Faso","VBW","BURKINA"
"Air Travel Corp.","","United States","ATH","AIR TRAVEL"
"Air Malta","","Malta","AMC","AIR MALTA"
"Air Togo","defunct","Togo","TGA","AIR TOGO"
"Air Satellite","defunct","Canada","ASJ","SATELLITE"
"Air and Sea Transport","","Russia","ASN",""
"Air Class, S.A. de C.V.","","Mexico","ASS","AIR CLASS"
"Air Nepal International","defunct","Nepal","NPL","AIR NEPAL"
"Air Napier","","New Zealand","NPR",""
"Air Taxi & Cargo","","Sudan","WAM","TAXI CARGO"
"Air Somalia","","Somali Republic","RSM","AIR SOMALIA"
"AirWest","","Sudan","AWZ",""
"Allegiant Air","","United States","AAY","ALLEGIANT"
"Angus Aviation","defunct","Canada","AAZ","ANGUS"
"Artem-Avia","defunct","Ukraine","ABA","ARTEM-AVIA"
"African Business and Transportations","","Democratic Republic of the Congo","ABB","AFRICAN BUSINESS"
"Aban Air","Former IATA code: K5","Iran","ABE","ABAN"
"Aerial Oy","","Finland","ABF","SKYWINGS"
"Abakan-Avia","","Russia","ABG","ABAKAN-AVIA"
"ABSA Cargo","","Brazil","TUS","Turismo"
"Abaeté Linhas Aéreas","","Brazil","ABJ",""
"Alberta Citylink","defunct, ICAO code no longer allocated","Canada","ABK","ALBERTA CITYLINK"
"APSA Colombia","aka Aeroexpreso Bogota","Colombia","ABO","AEROEXPRESO"
"Aerovías Bueno","defunct","Colombia","ABU","AEROBUENO"
"Aerocenter, Escuela de Formación de Pilotos Privados de Avión","","Spain","ACR","AEROCENTER"
"Antrak Air","","Ghana","ABV","ANTRAK"
"Airborne Express","August 14, 2003 merged into DHL","United States","ABX","ABEX"
"ABX Air","August 15, 2003 Air operations of former Airborne Express","United States","ABX","ABEX"
"ATA Brasil","defunct","Brazil","ABZ","ATA-BRAZIL"
"Avcard Services","ICAO code no longer allocated","United Kingdom","ACC",""
"Academy Airlines","","United States","ACD","ACADEMY"
"Astral Aviation","","Kenya","ACP","ASTRAL CARGO"
"Atlas Cargo Airlines","","Morocco","ACY","ATLAS CARGOLINES"
"Airservices Australia","Flight Inspection Unit","Australia","ADA","AUSCAL"
"Advance Leasing Company","","United States","",""
"Aztec Worldwide Airlines","","United States","",""
"Air Tindi","","Canada","TID",""
"Antonov Airlines","Antonov Design Bureau","Ukraine","ADB","ANTONOV BUREAU"
"Advanced Air Co.","ICAO Code no longer allocated","Japan","ADD",""
"Ada Air","defunct, former IATA code: ZY","Albania","ADE","ADA AIR"
"Aerea Flying Training Organization","","Spain","ADG","AEREA TRAINING"
"Audeli Air","","Spain","ADI","AUDELI"
"Abidjan Air Cargo","defunct","Côte d'Ivoire","ADJ","ABICAR"
"ADC Airlines","defunct; former name: Aviation Development Company","Nigeria","ADK","ADCO"
"Aero Dynamics","","United Kingdom","ADL","COTSWOLD"
"Aerodienst GmbH","","Germany","ADN","AERODIENST"
"Aerodiplomatic","","Mexico","ADP","AERODIPLOMATIC"
"Aerodyne","","United States","ADY","AERODYNE"
"Avion Taxi","2695731 Canada Inc.","Canada","ADQ","AIR DATA"
"Adria Airways","","Slovenia","ADR","ADRIA"
"Aviones de Sonora","","Mexico","ADS","SONORAV"
"Airdeal Oy","","Finland","ADU","AIRDEAL"
"Advance Air Charters","defunct","Canada","ADV","ADVANCE"
"Aero Benin","defunct","Benin","AEB","AEROBEN"
"Aerocésar","defunct; aka Aerovías del César","Colombia","AEC","AEROCESAR"
"Aerotrans Airlines","defunct","Russia","AED",""
"Anderson Aviation","","United States","ADX","ANDAX"
"Aegean Airlines","","Greece","AEE","AEGEAN"
"Aerofumigaciones Sam","defunct","Chile","AEG","FUMIGACIONES SAM"
"Aerogal","Aerolíneas Galápagos SA","Ecuador","GLG","AEROGAL"
"Aeroexpreso Interamericano","defunct","Colombia","AEI","INTERAM"
"Air Express","","Tanzania","AEJ","KHAKI EXPRESS"
"Aerocon","","Bolivia","AEK","AEROCON"
"Aero Madrid","","Spain","AEM","AEROMADRID"
"Air Enterprise","defunct","France","AEN","AIR ENTERPRISE"
"Aeroservicios Ejecutivos Del Occidente","","Mexico","AEO","AERO OCCIDENTE"
"Aerotec Escuela de Pilotos","","Spain","AEP","AEROTEC"
"Alaska Central Express","","United States","AER","ACE AIR"
"ACES Colombia","defunct","Colombia","AES","ACES"
"Aloha Air Cargo","","United States","AAH","ALOHA"
"Alaska Island Air","","United States","AAK","ALASKA ISLAND"
"American Airlines","","United States","AAL","AMERICAN"
"AmericanConnection","","United States","—","—"
"Ansett Australia","defunct","Australia","AAA","ANSETT"
"Army Air Corps","","United Kingdom","AAC","ARMYAIR"
"Astraeus","defunct, ICAO code no longer allocated","United Kingdom","AEU","FLYSTAR"
"Aeroventas","","Mexico","AEV","AEROVENTAS"
"Aerosvit Airlines","defunct","Ukraine","AEW","AEROSVIT"
"Airway Express","ICAO code no longer allocated","United States","AEX","AVCO"
"Aerial Transit","","United States","AEZ","AERIAL TRANZ"
"Alfa Air","","Czech Republic","AFA","BLUE ALFA"
"American Falcon","defunct","Argentina","AFB","AMERICAN FALCON"
"Alliance Airlines","","Australia","UTY","UNITY"
"Air Universal","defunct","Sierra Leone","UVS","UNI-LEONE"
"Auvia Air","","Indonesia","UVT","AUVIA"
"African West Air","","Senegal","AFC","AFRICAN WEST"
"Airfast Indonesia","","Indonesia","AFE","AIRFAST"
"Ariana Afghan Airlines","","Afghanistan","AFG","ARIANA"
"Africaone","","The Gambia","AFI","AFRICAWORLD"
"Alliance Air","Ceased operations 08/10/2000","Uganda","AFJ","JAMBO"
"Africa Air Links","","Sierra Leone","AFK","AFRICA LINKS"
"Aeroflot Russian Airlines","","Russia","AFL","AEROFLOT"
"Aero Empresa Mexicana","","Mexico","AFO","AERO EMPRESA"
"Alba Servizi Aerotrasporti","","Italy","AFQ","ALBA"
"Airfreight Express","Ceased operations 08/03/2002","United Kingdom","AFX",""
"Africa Chartered Services","","Nigeria","AFY","AFRICA CHARTERED"
"Africa Freight Services","","Zambia","AFZ","AFREIGHT"
"Aeronaves Del Centro","","Venezuela","AGA",""
"Arab Agricultural Aviation Company","","Egypt","AGC","AGRICO"
"Atlantic Gulf Airlines","defunct","United States","AGF","ATLANTIC GULF"
"Aerolitoral","","Mexico","SLI","COSTERA"
"Algoma Airways","ICAO code no longer allocated","Canada","AGG","ALGOMA"
"Altagna","","France","AGH","ALTAGNA"
"Angola Air Charter","","Angola","AGO","ANGOLA CHARTER"
"AERFI Group","","Ireland","AGP","AIR TARA"
"Aerogala","defunct","Chile","AGQ","GALASERVICE"
"Amadeus Global Travel Distribution","","Spain","AGT","AMADEUS"
"Angara Airlines","","Russia","AGU","SARMA"
"Aero Gambia","defunct, ICAO code no longer allocated","Gambia","AGW","AERO GAMBIA"
"Aviogenex","","Serbia","AGX","GENEX"
"Atlantic Coast Airlines","defunct","United States","BLR","BLUE RIDGE"
"Aero Barloz","","Mexico","BLZ","AEROLOZ"
"Aeroperú","defunct","Peru","PLI","Aeroperu"
"Atlas Blue","defunct","Morocco","BMM","ATLAS BLUE"
"Aero Banobras","","Mexico","BNB","AEROBANOBRAS"
"Aero Flight Service","","United States","AGY","FLIGHT GROUP"
"Agrolet-Mci","","Slovakia","AGZ","AGROLET"
"Air Alpha Greenland","sold to Air Greenland","Denmark","AHA","AIR ALPHA"
"Azal Avia Cargo","Cargo Airline of the State Concern Azerbaijan Hava","Azerbaijan","AHC","AZALAVIACARGO"
"Airport Helicopter Basel, Muller & Co.","","Switzerland","AHE","AIRPORT HELICOPTER"
"Aeroservices Corporate","","France","CJE","BIRD JET"
"Aspen Helicopters","","United States","AHF","ASPEN"
"Aerochago Airlines","defunct","Dominican Republic","AHG","AEROCHAGO"
"Airplanes Holdings","","Ireland","AHH","AIRHOLD"
"Aerochiapas","","Mexico","AHP","AEROCHIAPAS"
"ABC Air Hungary","","Hungary","AHU","ABC HUNGARY"
"Aeromist-Kharkiv","defunct","Ukraine","AHW","AEROMIST"
"Azerbaijan Airlines","","Azerbaijan","AHY","AZAL"
"Avies","","Estonia","AIA","AVIES"
"Airbus Industrie","","France","AIB","AIRBUS INDUSTRIE"
"Alpine Air Chile","","Chile","AIH","ALPINE CHILE"
"ABC Aerolíneas","","Mexico","AIJ","ABC AEROLINEAS"
"African Airlines International Limited","","Kenya","AIK","AFRICAN AIRLINES"
"African International Airways","","Swaziland","AIN","FLY CARGO"
"Alpine Air Express","","United States","AIP","ALPINE AIR"
"Alicante Internacional Airlines","","Spain","AIU","ALIA"
"ABS Jets","Named changed from Aba Air","Czech Republic","ABP","BAIR"
"Airblue","","Pakistan","ABQ","PAKBLUE"
"Airmark Aviation","","Thailand","THM","THAI AIRMARK"
"Airlift International","defunct","United States","AIR","AIRLIFT"
"Airest","","Estonia","AIT",""
"Airvias S/A Linhas Aéreas","","Brazil","AIV","AIRVIAS"
"Aero Services Executive","","France","BES","BIRD EXPRESS"
"Atlantic Island Airways","","Canada","AIW","TARTAN"
"Aircruising Australia","","Australia","AIX","CRUISER"
"Aircrew Check and Training Australia","","Australia","AIY","AIRCREW"
"Arkia Israel Airlines","","Israel","AIZ","ARKIA"
"Afghan Jet International Airlines","","Afghanistan","AJA","AFGHAN JET"
"Aero JBR","","Mexico","AJB","AERO JBR"
"Aero Jet Express","defunct","Mexico","AJE","JET EXPRESS"
"Avia Consult Flugbetriebs","","Austria","AJF","AVIACONSULT"
"Ameristar Jet Charter","","United States","AJI","AMERISTAR"
"Allied Air","","Nigeria","AJK","BAMBI"
"Aero Ejecutivo","defunct","Mexico","AJO","AEROEXO"
"Aero Jets Corporativos","","Mexico","AJP","AEROJETS"
"Aeroejecutivos Colombia","Aeroejecutivos Aeroservicios Ejecutivos","Colombia","AJS","AEROEJECUTIVOS"
"Amerijet International","","United States","AJT","AMERIJET"
"ANA & JP Express","merged into Air Japan","Japan","AJV","AYJAY CARGO"
"Alpha Jet International","","United States","AJW","ALPHAJET"
"AJet","defunct, ICAO code no longer allocated","Cyprus","AJY","AYJET"
"Aktjubavia","","Kazakhstan","AKB","KARAB"
"Arca Aerovías Colombianas Ltda.","","Colombia","AKC","ARCA"
"Anikay Air Company","","Kyrgyzstan","AKF","ANIKAY"
"Akhal","","Turkmenistan","AKH","AKHAL"
"Aeromilenio","","Mexico","MNI","AEROMIL"
"Aklak Air","","Canada","AKK","AKLAK"
"Air Kiribati","","Kiribati","AKL",""
"Alkan Air","","Canada","AKN","ALKAN AIR"
"Angkor Airways","defunct","Cambodia","AKW","ANGKORWAYS"
"AK Navigator LLC","ICAO code no longer allocated","Kazakhstan","AKZ","ABSOLUTE"
"Aero Albatros","","Mexico","ALB","ALBATROS"
"Albion Aviation","","United Kingdom","ALD","ALBION"
"Aeroalas Colombia","defunct","Colombia","ALE","AEROALAS"
"Allied Command Europe (Mobile Force)","","Belgium","ALF","ACEFORCE"
"Aerotaxis Albatros","","Mexico","BTS","AEROLINEAS ALBATROS"
"American Flyers","","United States","FYS","AMERICAN FLYERS"
"Aero Coach Aviation","","United States","DFA","AERO COACH"
"Atlantic Southeast Airlines","Merged into ExpressJet Airlines","United States","ASQ","ACEY"
"ACM Air Charter","","Germany","BVR","BAVARIAN"
"Air Logistics","","United States","ALG","AIRLOG"
"Aerovallarta","","Mexico","ALL","VALLARTA"
"America West Airlines","Merged with US Airways","United States","AWE","CACTUS"
"Aerotransporte de Carga Union","","Mexico","TNO","AEROUNION"
"Aero Taxis Cessna","","Mexico","TND","TAXIS CESSNA"
"Arizona Express Airlines","","United States","TMP","TEMPE"
"Allegheny Commuter Airlines","US Airways Express","United States","ALO","ALLEGHENY"
"Allpoints Jet","","China","ALP","ALLPOINTS"
"Alpliner AG","Code now allocated to another user","Switzerland","ALP","ALPINER"
"Altair Aviation (1986)","","Canada","ALQ","ALTAIR"
"Aeropostal Alas de Venezuela","","Venezuela","ALV","AEROPOSTAL"
"Alas Nacionales, S.A.","","Dominican Republic","ALW","ALNACIONAL"
"Alyeska Air Service","","United States","ALY","ALYESKA"
"Alta Flights (Charters) Ltd.","","Canada","ALZ",""
"ATMA","","Kazakhstan","AMA","ADIK"
"Aerolíneas Medellín","defunct","Colombia","AMD","AEROLINEAS MEDELLIN"
"Ameriflight","","United States","AMF","AMFLIGHT"
"Alan Mann Helicopters Ltd.","ICAO code no longer allocated","United Kingdom","AMH","MANN"
"Aviation Amos","","Canada","AMJ","AVIATION AMOS"
"Amerer Air","","Austria","AMK","AMER AIR"
