id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
121819,18772,dover corporation,,,,23000,,,richard j. tobin,,,,,,,dover corporation,united states,$22.94 billion,1955,25000,specialty industrial machinery,industrials,mr. richard joseph tobin,us$6.7 billion 2020 us$7.1 billion 2019,,,,,
46561,4952,chongqing iron & steel company limited,,,,6601,,,,,,,,,httpwww.cqgt.cn,chongqing iron & steel company limited,china,3.747 billion usd,,,,,,,,,,,
121653,83082,chunghwa telecom,,,,32218,,,chimau sheih,,,,,,,chunghwa telecom,taiwan,,,,,,,,,$37.68,,,
165753,86525,xenia hotels & resorts,usa,$1.69 b,,,,,,,,$14.46,,,,xenia hotels & resorts,usa,,,,,,,,,$13.66,,,
161957,121226,icici bank,india,$75.07 b,,,,,,,,$21.52,,,,icici bank,,,,130170,,,sandeep bakhshi,,,,,,
64424,63578,kroger,united states,,,,,,,$137.89 b,,,,,,kroger,,,,,,,,,,,,,
159132,103135,ubm development,none,$0.22 b,,,,,,,,$30.52,,,,ubm development,austria,$0.21 b,,,,,,,,$29.05,,,
131846,110704,anglo american,united kingdom,,1917,63698,materials,,duncan graham wanblad,$41.5b,,,,,,anglo american,uk,$54.20 b,,,,,,,,$40.53,,,
65676,63833,magna international,,,1957.0,,consumer durables,,,$36.2b,,,,,,magna international,,,,,,,,,,,,,
159294,114159,hartalega,malaysia,$0.59 b,,,,,,,,$0.36,,,,hartalega,malaysia,$0.60 b,,,,,,,,$0.37,,,
100605,56665,rogers corporation,usa,$2.30 b,,,,,,,,$122.30,,,,rogers corporation,usa,,1832,,technology chemicals electronics capital goods,,not found,932 million usd,,,,,
166239,102161,aurinia pharmaceuticals,canada,$1.18 b,,,,,,,,$8.33,,,,aurinia pharmaceuticals,canada,$0.66 b,,,,,,,,$4.67,,,
96004,5932,riot blockchain,,$1.00 b,,335.0,,,,$0.28 b,,$6.02,,,,riot blockchain,usa,3.581 billion usd,,,,,,,,,,,
63050,41370,nazara technologies limited,india,,not found,,communication services gaming media,,not found,78 million usd,,,,,,nazara technologies limited,,,,,,,,,,,,,httpscorp.nazara.com
145832,71078,ericsson,,,1876,,technology,telecommunications equipment,,,,,,,,ericsson,sweden,$28.6 b,,,,,,,,,,,
66204,42663,guangzhou automobile group,,,1997.0,,consumer durables,,,$11.7b,,,,,,guangzhou automobile group,,,,94856,,,,,,,,,httpswww.gacmotor.com
