id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
167162,162285,alta equipment group,usa,$0.51 b,,,,,,,,$15.97,,,,paccar,usa,$34.49 b,,,,,,,,$99.19,,,
6769,4076,srf,india,8.005 billion usd,,,,,,,,,,,,indian railway finance corporation limited,india,4.217 billion usd,,,,,,,,,,,
101562,9197,eckert & ziegler,germany,$1.11 b,,,,,,,,$53.15,,,,morphosys ag,germany,2.013 billion usd,,,,,,,,,,,
73120,68259,otl - online trainer,germany,,2015,,,health,,6607564,,,,,,careful-service,germany,,2014,,,health,,,,,,,
59440,15235,commscope holding company,usa,,1976,,technology communications equipment,,not found,8586 million usd,,,,,,delek us,usa,,,,,,,,,24,,,
156353,23227,treace medical concepts,usa,$1.46 b,,,,,,,,$26.35,,,,napco security technologies,usa,$0.95 b,,,,,,,,$25.92,,,
85970,8056,kingnet network,china,,,,,,,,,$1.13,,,,gosuncn technology group,china,1.069 billion usd,,,,,,,,,,,
158006,783,yunji,china,$0.12 b,,,,,,,,$0.60,,,,goertek,china,24.526 billion usd,,,,,bin jiang,,,,,,
152593,103036,mdc holdings,usa,$2.61 b,,,,,,,,$36.68,,,,planet13,usa,$0.24 b,,,,,,,,$1.11,,,
167675,114304,daseke,usa,$0.28 b,,,,,,,,$6.30,,,,clear channel outdoor,usa,$0.71 b,,,,,,,,$1.51,,,
169781,99262,kubota corp,japan,,,,farm heavy construction machinery,industrials,,,6326,,,,,ibiden,japan,$5.60 b,,,,,,,,$39.92,,,
28162,12773,property data bank,japan,,2000,64,technology,,,16.95,,,,,,suntory,japan,,,,,,,,,33,,,
84800,23522,assai atacadista,brazil,,,,,,,,,$19.50,,,,3r petroleum,brazil,$1.29 b,,,,,,,,$6.40,,,
97384,25840,mckesson,usa,$52.79 b,,,,,,,,$372.31,,,,targa resources,usa,$15.52 b,,,,,,,,$68.57,,,
161893,156529,amd,usa,$112.97 b,,,,,,,,$70.07,,,,opal fuels,usa,$1.21 b,,,,,,,,$6.99,,,
101334,100701,aether industries,india,$1.33 b,,,,,,,,$10.74,,,,fine organics,india,$2.15 b,,,,,,,,$70.23,,,
86046,25646,mgp ingredients,usa,,,,,,,,,$104.56,,,,equitable holdings,usa,$11.35 b,,,,,,,,$30.69,,,
115342,26590,csw industrials,usa,$1.89 b,,,,,,,,$122.36,,,,nvidia,usa,$401.71 b,,,,,,,,$161.20,,,
84977,3629,parsons,usa,,,,,,,,,$44.82,,,,onto innovation,usa,3.652 billion usd,,,,,,,,,,,
