id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
153548,136023,shanghai qiangsheng holding,,,,,,,,,,,,,httpwww.62580000.com.cn,shanghai qiangsheng holding,china,1.294 billion usd,,,,,,,,,,,
156674,128132,sakata seed corporation,,,,2477,,,,,,,,,httpswww.sakata.com,sakata seed corporation,japan,,1942,,consumer defensive farming seeds milling,,not found,533 million usd,,,,,
85753,70025,goodman property trust,,nz$3.37 billion,,not found,,,mr. john morton dakin,,,,,,,goodman property trust,,,,,,,,,,,,,httpsnz.goodman.com
185143,176677,cerberus cyber sentinel,usa,,,,,,,,,2,,,,cerberus cyber sentinel,usa,$0.29 b,,,,,,,,$1.97,,,
168639,106281,kaman,usa,$0.56 b,,,,,,,,$20.25,,,,kaman,usa,,,,,,,,,$23.48,,,
173304,114661,haitong securities co. ltd,china,$18.23 b,,11282,capital markets,financials,,,600837,,,,,haitong securities co. ltd,china,$18.23 b,,,capital markets,financials,,,600837,,,,
179399,94848,berkshire hathaway,usa,,,,,,,,,319,,,,berkshire hathaway,usa,$683.33 b,,,,,,,,$309.87,,,
152449,68904,zhejiang crystal-optech,,,,6134,,,,,,,,,httpwww.crystaloptech.comen,zhejiang crystal-optech,,,,6134,,,,,,,,,httpwww.crystaloptech.comen
168315,93388,financial institutions,usa,$0.36 b,,,,,,,,$23.88,,,,financial institutions,,$0.37 b,,650.0,,,,$0.21 b,,$24.65,,,
174728,41475,macy's,usa,$6.17 b,,,,,,,,$22.76,,,,macy's,,,,88857,,,,,,,,,
64031,32669,storebrand,,,1982.0,,insurance,,,$13.8b,,,,,,storebrand,norway,$3.97 b,,,,,,,,$8.56,,,
178169,151270,digital turbine,usa,$1.53 b,,,,,,,,$15.52,,,,digital turbine,,,,844,,,,,,,,,httpswww.digitalturbine.com
128540,48321,wpg (shanghai) smart water public,china,,not found,,industries industry machinery,,not found,not found,,,,,,wpg (shanghai) smart water public,,,,,,,,,,,,,
42737,22435,herc holdings,,,,4800,,,,,,,,,,herc holdings,usa,$3.88 b,,,,,,,,$132.68,,,
161096,54682,adidas,,,,,,,,,,,,,,adidas,,,1949 74 yrs old,,fashion textile,,,,,,,,
80213,70857,sensirion holding ag,,chf1.82 billion,,857,,,not found,,,,,,,sensirion holding ag,,,,,,,,,,,,,httpswww.sensirion.com
153601,136070,"contec medical systems co.,ltd",,,,,,,,,,,,,httpswww.contecmed.com,"contec medical systems co.,ltd",china,2.338 billion usd,,,,,,,,,,,
119796,20003,sempra energy,usa,,1998,,utilities electric utilities gas utilities oil and gas,,jeffrey w. martin,12857 million usd,,,,,,sempra energy,usa,$51.47 b,,,,,,,,$163.75,,,
121925,66917,aroundtown sa,luxembourg,,2004,,real estate financial services property investments,,not found,1085 million usd,,,,,,aroundtown sa,,,,500,,,,,,,,,httpswww.aroundtown.de
166438,32235,mdc holdings,usa,$2.30 b,,,,,,,,$32.32,,,,mdc holdings,usa,$2.61 b,,,,,,,,$36.68,,,
72534,1041,outreach,,,,1450,,,,,,,,,httpswww.outreach.io,outreach,united states,,2011,,internet software services,,,,,,seattle,,
156197,127664,cowell e holdings,,,,,,,,,,,,,httpwww.cowelleholdings.com,cowell e holdings,china,,not found,,technology electronics capital goods,,not found,not found,,,,,
157050,128507,torrid holdings inc.,,,,8100,,,,,,,,,httpswww.torrid.com,torrid holdings inc.,usa,,not found,,shell company retail,,not found,1278 million usd,,,,,
162328,114492,"huntington bancshares, inc.",,,,employees 18442,,,ceo mr. stephen d. steinour,,,,,,,"huntington bancshares, inc.",united states,$22.26 b,,,banks,financials,,,hu3,,,,
142132,141232,\n,,,,,,,,,,,,harju maakond tallinn kesklinna linnaosa virmalise tn 285 10131,,\n,,,,,,,,,,,,harju maakond tallinn kesklinna linnaosa kaupmehe tn 731 10114,
176587,38602,alpine income property trust,usa,$0.25 b,,,,,,,,$19.66,,,,alpine income property trust,usa,$0.25 b,,,,,,,,$19.75,,,
154078,70533,fibra prologis,,,,,,,,,,,,,httpswww.fibraprologis.comenus,fibra prologis,,,,,,,,,,,,,httpswww.fibraprologis.comenus
146569,91522,"crowdstrike holdings, inc.",,,2011,6000 2022 a,information security,,,us$ 1.45 billion 2022 a,,,,,,"crowdstrike holdings, inc.",,$47.89 billion,,4965,,,mr. george r. kurtz,,,,,,
165865,33589,donaldson,usa,$7.25 b,,,,,,,,$59.22,,,,donaldson,usa,$7.49 b,,,,,,,,$61.57,,,
163452,26755,gazprom,russia,,1989,477600,oil gas operations,,alexei borisovich miller,$117.3b,,,,,,gazprom,russia,$63.56 b,,,,,,,,,,,
180452,164304,coles group,australia,,,,,,,,,11,,,,coles group,australia,,1914,120000,food markets,,steven cain,$29.4b,,,,,
103869,22357,cosmos pharmaceutical,japan,,,,,,,,,$100.87,,,,cosmos pharmaceutical,japan,$4.05 b,,,,,,,,$102.38,,,
149829,132302,severn trent,,,,6800,,,,,,,,,httpswww.stwater.co.uk,severn trent,uk,9.661 billion usd,,,,,,,,,,,
172360,63123,general dynamics,usa,$67.59 b,,,,,,,,$246.21,,,,general dynamics,,,1952.0,,aerospace defense,,,$38.5b,,,,,
101524,95239,centene,usa,,,,,,,,,$77.04,,,,centene,usa,$43.12 b,,,,,,,,$76.15,,,
130335,52308,toyota motor corporation,japan,244.750 billion usd,,,,,,,,,,,,toyota motor corporation,japan,,,,,consumer discretionary,,,7203,,,,
164325,129482,shopify,canada,,2006,10000,it internet software services,,tobias albin ltke,$4.6b,,,,,,shopify,,c$104.90 billion,2006,10000,,,mr. tobias ltke,,,,,,
182883,170076,osterreichische post,austria,,,,,,,,,34,,,,osterreichische post,austria,$2.34 b,,,,,,,,$34.73,,,
134119,42888,asm pacific technology,hong kong,4.969 billion usd,,,,,,,,,,,,asm pacific technology,,,,15200,,,,,,,,,
184564,71057,boohoo group,uk,,,,,,,,,0,,,,boohoo group,,,,2692,,,,,,,,,httpwww.boohooplc.com
70788,45577,xinhua winshare publishing and media,,,,,,,,,,,,,httpswww.winshare.com.cn,xinhua winshare publishing and media,,,,,,,,,,,,,
165447,162458,iberdrola,spain,$69.79 b,,,,,,,,$11.42,,,,iberdrola,spain,,,45000,,utilities,jose ignacio sanchez galan,43104 million usd,,,,,
160685,62900,china merchants bank,,,,,,,,,,,,,,china merchants bank,,,1987.0,,banking,,,$71.1b,,,,,
178312,23498,bukalapak.com,indonesia,$1.75 b,,,,,,,,$0.02000,,,,bukalapak.com,indonesia,$1.84 b,,,,,,,,$0.02000,,,
158321,106397,ebix,,,,10030,,,,,,,,,httpswww.ebix.com,ebix,usa,,,,,,,,,$19.11,,,
150174,132637,rockwool international a/s,,,,11700,,,,,,,,,httpswww.rockwoolgroup.com,rockwool international a/s,denmark,10.742 billion usd,,,,,,,,,,,
150655,122113,baic bluepark new energy technology,,,,,,,,,,,,,httpswww.bjev.com.cn,baic bluepark new energy technology,china,,1992,,consumer cyclical automobile cars,,not found,1365 million usd,,,,,
187957,114572,ctbc financial holding co. ltd,taiwan,us$20.15 billion,,21159,insurancelife,financials,,,,,,,,ctbc financial holding co. ltd,taiwan,$20.15 b,,,insurancelife,financials,,,2891,,,,
183639,24000,techtarget,usa,,,,,,,,,45,,,,techtarget,usa,$1.28 b,,,,,,,,$43.76,,,
121115,66109,arca continental,mexico,,2001,,consumer defensive beverages nonalcoholic beverages,,not found,9308 million usd,,,,,,arca continental,,,,62222,,,,,,,,,httpwww.arcacontal.com
145247,3271,ibanfirst,belgium,,2013,,,fintech,,,,,,,,ibanfirst,belgium,,2012,139,fintech,,,8209166,,,,,
173808,164979,oriental land,japan,$47.32 b,,,,,,,,$144.48,,,,oriental land,japan,,1960,8782,media,,toshio kagami,$2b,,,,,
96139,20958,segro,uk,$12.15 b,,,,,,,,$9.91,,,,segro,uk,$12.23 b,,,,,,,,$10.12,,,
152074,123527,zooplus ag,,,,,,,,,,,,,httpswww.zooplus.com,zooplus ag,germany,,1999,,consumer cyclical retail,,not found,1800 million usd,,,,,
