id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
179878,101609,stmicroelectronics,switzerland,,,,,,,,,38,,,,stmicroelectronics,switzerland,,,,,,,,,$41.14,,,
56513,22904,oil india,,,1959 64 yrs old,,oil gas,,,,,,,,,oil india,india,$2.82 b,,,,,,,,$2.60,,,
29819,19501,p a hydraulics (n.e.) ltd,,,,,,,,,,,,unit19jairportindustrialestate kingstonpark newcastleupontyne unitedkingdom ne32ef,,p a hydraulics (n.e.) ltd,,,,,,,,,,,,,
178160,71913,kec international,india,$1.53 b,,,,,,,,$5.96,,,,kec international,,,,9328,,,,,,,,,httpswww.kecrpg.com
141787,141283,\n,,,,,,,,,,,,harju maakond tallinn phjatallinna linnaosa tuulemaa tn 938 10312,,\n,,,,,,,,,,,,harju maakond tallinn haabersti linnaosa kakum¤e tee 37 13516,
153882,98968,helios towers,,,,,,,,,,,,,httpswww.heliostowers.com,helios towers,uk,$1.51 b,,,,,,,,$1.39,,,
174998,48847,brigham minerals,usa,$1.96 b,,,,,,,,$32.50,,,,brigham minerals,,,,,,,,,,,,,
180242,148926,wilmar international,singapore,,,,,,,,,3,,,,wilmar international,,,,100000,,,kuok khoon hong,,,,,,httpswww.wilmarinternational.com
186339,175753,rubius therapeutics,usa,,,,,,,,,0,,,,rubius therapeutics,usa,$20.48 m,,,,,,,,$0.23,,,
101364,95069,lam research,usa,,,,,,,,,$473.67,,,,lam research,usa,$64.43 b,,,,,,,,$472.50,,,
168909,106103,adler real estate,germany,$0.76 b,,,,,,,,$6.98,,,,adler real estate,germany,,,,,,,,,$7.04,,,
19846,6797,stryker corporation,usa,$96.05 b,,,,,,,,$253.82,,,,stryker corporation,usa,99.43 billion usd,1941.0,43000,,,kevin a. lobo,,,,,,
163689,40211,posco,south korea,,1968,18247,materials,,inhwa chang jeongwoo choi,$66.7b,,,,,,posco,,,,17932,,,jeongwoo choi,,,,,,
145839,94828,majar a matzaridis bros,greece,,1994,,,technology,,,,,,,,majar a matzaridis bros,greece,,1994,19.0,,technology,,13224865,,,,,
