"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"109","Lindstrom","3.6","561","835","Center (South)","Chisago"
"19","Centerville","3.2","276","455","Centerville","Anoka"
"95","Deer River","20.5","68","209","Chase","Itasca"
"29","Longville","10","158","316","Child","Cass"
"95","Brandon","7","505","1186","Chippewa (Big)","Douglas"
"24","Brandon","9","126","270","Chippewa (Little)","Douglas"
"34","Chisago","n/a","695","873","Chisago City","Chisago"
"14","Ashby","n/a","3978","3978","Christina","Douglas"
"87","Eden Prairie","18.8","77","257","Christmas","Hennepin"
"28","Carlton","7.25","169","311","Chub","Carlton"
"10","Farmington","N/A","274","274","Chub","Dakota"
"15","Ash Lake","6.0","125","125","Chub","St. Louis"
"19","Mahnomen","1.9","161","167","Church","Mahnomen"
"9","South Haven","5","12","12","Church Slough","Wright"
"14","Lonsdale","n/a","624","624","Circle","Noodles"
"31","Nisswa","15","264","305.41","Clark","Crow Wing"
"4","McNair","2","51","51","Clark","Lake"
"44","Ely","12","24","73.43","Clark","St. Louis"
"34","Cohasset","12","27","37","Clarke","Itasca"
"24","Glen","15.5","363","562","Clear","Aitkin"
"63","Jenkins","19","59","220","Clear","Crow Wing"
"7","Hastings","N/A","392","198","Clear","Goodhue"
"9","Jackson","2.2","415","415","Clear","Jackson"
"11","Russell","1","68","65.76","Clear","Lyon"
"18","Lexington","2.3","198","268","Clear","Lesueur"
"18","Watkins","1.5","441","497","Clear","Meeker"
"29","Dalton","8.1","153","352","Clear","Otter Tail"
"8","Gibbon","N/A","469","469","Clear","Sibley"
"24","Ely","11","97","119","Clear","St. Louis"
"24","Buhl","10.5","94","112","Clear","St. Louis"
"34","Waseca","N/A","448","652","Clear","Waseca"
"28","Forest Lake","4.5","267","424","Clear","Washington"
"65","Leonard","10.5","339","1008","Clearwater","Beltrami"
"54","Deerwood","14","252","880","Clearwater","Crow Wing"
"100","Annandale","4.5","1595.6","3158.27","Clearwater","Wright"
"69","Dalton","9.3","805","2493","Clitherall","Otter Tail"
"103","Marcell","17","32","210","Clubhouse","Itasca"
"20","Oak Knoll","10","9","9","Cobblecrest","Hennepin"
"14","Montgomery","0.7","257","257","Cody","Rice"
"30","Hoyt Lakes","4","377","539","Colby","St. Louis"
"11","Woodbury","n/a","n/a","70","Colby","Washington"
"11","Bloomington","4","18","18","College Pond","Hennepin"
"47","Wyoming","3.8","90","219","Comfort","Chisago"
"15.5","St. Paul","1.5","66.5","66.7","Como","Ramsey"
"30","Whiteface","4","310","443","Comstock","St. Louis"
"50","Alexandria","12","66","95","Cook","Douglas"
"20","Corcoran","12","9.18","9.18273645555","Cook","Hennepin"
"38","Prairie Portage","10.3","43","43","Cook County Lake","Lake"
"44","Bucks Mill","4.5","44","60","Cooks","Otter Tail"
"19","","8","90","96.57","Cooks",""
"22","","11","11","11.4784205693","Cookoosh",""
"27","Soderville","6.75","1098","1259","Coon","Anoka"
"36","Big Fork","11.4","504","627","Coon","Itasca"
"8","East Bethel","n/a","44","44","Coopers","Anoka"
"75","Audubon","10","812","3421","Cormorant (Big)","Becker"
"34","Audubon","11.5","619","924","Cormorant (Little)","Becker"
"3","St Augusta","3","0.2","0.2","Corner","Stearns"
"28","Rochert","13.5","781","1720","Cotton","Becker"
"16","Donnelly","8","243","243","Cottonwood","Grant"
"7","Cottonwood","2.3","323","323","Cottonwood","Lyon"
"52","Alexandria","9.5","88","238","Cowdry","Douglas"
"14","Oak Knoll","6","39","39","Crane","Hennepin"
"43","Battle Lake","11","202","367","Crane","Otter Tail"
"80","Crane Lake","7.5","618","3088","Crane","St. Louis"
"19","Montrose","14","107","109","Crawford","Wright"
"28","Grand Marais","11","558","744","Crescent","Cook"
"60","Marble","3.1","104","418","Crooked","Itasca"
"22","Lincoln","12.8","131","179.29","Crookneck","Morrison"
"84","Cross Lake","12","879","1751","Cross","Crow Wing"
"30","Pine City","4","507","943","Cross","Pine"
"19","Fosston","7","303","328","Cross","Polk"
"30","Brooten","8","560","600","Crow","Cook"
"26","Ft Ripley","7","210","382","Crow Wing","Crow Wing"
"8","Albertville","4","6","6","Crow Oxbow","Wright"
"91","Ray","27","22","115","Cruiser","St. Louis"
"37","Burnsville","2.8","208","280","Crystal","Dakota"
"55","Pelican Rapids","6.8","674","1412","Crystal","Otter Tail"
"20+","Morris","N/A","185","185","Crystal","Stevens"
"39","Nisswa","11","180","512","Cullen (Lower)","Crow Wing"
"48","Nisswa","14.5","127","382","Cullen (Middle)","Crow Wing"
"40","Nisswa","16","300","435","Cullen (Upper)","Crow Wing"
"9.5","Balaton","0.9","377","377","Currant","Murray"
"78","Squaw Lake","12.2","1324","2768","Cut Foot Sioux","Itasca"
"55","Bovey","12","98","257","Cutaway","Itasca"
"5,4","Maine Prairie","3,4","1,0.5","1,0.5","Cut Slough","Stearns"
"20","Willow River","11","107","107","Dago","Pine"
"22","Clearwater","5.5","16","20","Dallas","Stearns"
"48","Aitkin","10.5","256","642","Dam","Aitkin"
"90","Grand Marais","15","86","508.61","Daniels","Cook"
"50","Gemmell","6","70","119.61","Dark","Koochiching"
"31","Buhl","17","138","232","Dark","St. Louis"
"10","Winton","5","38","38","Dark","St. Louis"
"102","Ridge","33","18","18","Dark Blue Pit","St Louis"
"62","Alexandria","9","477","954","Darling","Douglas"
"32","","6","139","227.28","Dayton Hollow Reservoir","Otter Tail"
"19","Frazee","1.8","249","274","Dead","Becker"
"34","Dorset","16","172","292","Dead","Hubbard"
"8","South Haven","4","5","5","Dead Slough","Wright"
"65","Dent","4.83","6537","7901","Dead","Otter Tail"
"12","Kimball","5","8","8","Dead Hole","Stearns"
"9","Arco","2.5","569","569","Dead Coon","Lincoln"
"14","Howard Lake","7","20","20","Dead Tree Slough","Wright"
"20","Buffalo","3.5","125","173","Dean","Wright"
"12","Golden Valley","2","7","7","Decola Pond A","Hennepin"
"42","Bemidji","N/A","118","262","Deer","Beltrami"
"121","Deer River","9.5","920","4097","Deer","Itasca"
"50","Effie","10.5","1332","1748","Deer","Itasca"
"26","Battle Lake","9.5","306","457","Deer","Otter Tail"
"27","Buffalo","4.5","126","163","Deer","Wright"
"6","St Augusta","5","888","888","Deerwood Long","Stearns"
"9","Pine Springs","4","6","6.8870523416","Deer Pond",""
"8","St Augusta","5","52","52","Deerwood","Stearns"
"30","Candy","5.1","88","156.3","Del Clark","Yellow Medicine"
"24","Lake Elmo","12","129","143","Demontreville","Washington"
"89","Detroit Lakes","7.3","1895","3083","Detroit","Becker"
"50","Grand Marais","N/A","626","1838","Devil Track","Cook"
"35","Brandon","7.5","150","221","Devils","Douglas"
"67","Perham","13.2","211","314","Devils","Otter Tail"
"9","Rollins","5.344","20","20","Devine","St. Louis"
"40","Chisholm","11","76","195","Dewey","St. Louis"
"9","Warman","5.984","90","90","Dewitt Marsh","Mille Lacs"
"6","Minneapolis","4","115","115","Diamond","Hennepin"
"8","Rogers","n/a","406","408","Diamond","Hennepin"
"6","Hackensack","3","4.5","4.5913682277","Diamond Pond","Cass"
"27","Atwater","3","635","1565","Diamond","Kandiyohi"
"26","Long Lake","N/A","7","12","Dickey's","Hennepin"
"25","Melrude","3.5","132","207","Dinham","St. Louis"
"30","Hill City","9","21","47","Dinner Pail","Itasca"
"1","South Haven","1","0.007","0.007","Ditch","Wright"
"29","Squaw Lake","5.5","478","616","Dixon","Itasca"
"6","Richmond","3","3","3","Doll Pond","Stearns"
"16","Emily","11","268","271","Dolney","Crow Wing"
"140","Ridge","36","110","110","Donora Settling Basin","St Louis"
"18","Wirt","8.7","422","447","Dora","Itasca"
"7","Hawley","2.5","N/A","112","Doran","Clay"
"9","Storden","2","246","246","Double","Cottonwood"
"17","Crane Lake","5","114","120","Dovre","St. Louis"
"2","St Augusta","2","2","2","Dry Slough","Stearns"
"23","Hubbard","5.5","151","326","Duck","Hubbard"
"40","Isabella","22","202","437","Dumbbell","Lake"
"30","Squaw Lake","5","162","254","Dunbar","Itasca"
"10","Upsala","4.8","28","28","Dunder Pond","Morrison"
"45","Mound","2.3","83","160","Dutch","Hennepin"
"21","Howard Lake","2.3","112","153","Dutch","Wright"
"29","Frazee","7.2","141","308","Eagle","Becker"
"9","Madison Lake","1.5","914","914","Eagle","Blue Earth"
"44","Deerwood","4.9","65","239","Eagle","Crow Wing"
"36","Fifty Lakes","15.8","190","358","Eagle","Crow Wing"
"34","Maple Grove","4.3","199","291","Eagle","Hennepin"
"77","Park Rapids","9","164","411","Eagle","Hubbard"
"47","Marcell","n/a","209","279","Eagle","Itasca"
"67","Willmar","8.5","274","824","Eagle","Kandiyohi"
"46","Battle Lake","22.6","157","845","Eagle","Otter Tail"
"18","Big Lake","2","330","381","Eagle","Sherburne"
"38","Maple Lake","4.2","169","244","Eagle","Wright"
"76","Ely","19","88","322","Eagles Nest 1","St. Louis"
"39","Ely","14","229","408","Eagles Nest 2","St. Louis"
"49","Soudan","18","553","1001","Eagles Nest 3","St. Louis"
"49","Ely","18","83","177","Eagles Nest 4","St. Louis"
"87","Henning","7.7","825","1949","East Battle","Otter Tail"
"9","Isabella","N/A","64","64","East Chub","Lake"
"96","Nevis","17.5","120","365","East Crooked","Hubbard"
"192","Ridge","40","190","190","East Fat Pit","St Louis"
"37","Cleveland","4","343","700","East Jefferson","Lesueur"
"47","Henning","8","113","404","East Leaf","Otter Tail"
"36","Battle Lake","10.2","327","501","East Lost","Otter Tail"
"12","Strandquist","11.968","405","405","East Park WMA","Marshall"
"10","South Haven","5","8","8","East Pittman","Wright"
"28","Grand Marais","10.3","19","35.53","East Pope","Cook"
"10","Austin","2","39","39","East Side","Mower"
"48","Dent","16","58","310","East Silent","Otter Tail"
"14","Willmar","12","706","706","East Soloman","Kandiyohi"
"9","Graceville","1.3","428","436.64","East Toqua","Big Stone"
"22","Florence","3.2","224","352","East Twin","Lyon"
"132","Ridge","33","275","275","East & West Stephens Settling Basin","St Louis"
"14","Pine Springs","4.93","28","28","Echo","Washington"
"77","Eden Valley","5.5","124","263","Eden","Stearns"
"9","Edina","3","3.9","3.9026629936","Edina Mill Pond","Hennepin"
"44","Grand Marais","8.5","10","10","Edith","Cook"
"12","Marcell","1.9","N/A","50","Edmund","Itasca"
"75","Merrifield","12","1198","2576","Edward","Crow Wing"
"30","Nevis","n/a","153","492","Eighth Crow Wing","Hubbard"
"10","Dassel","5","36","36","Eighty Acre","Meeker"
"76","Waubun","15","200","1001","Elbow","Becker"
"9","Grand Marais","4.5","437","437","Elbow","Cook"
"23","Tofte","7","382","516","Elbow","Cook"
"46","Battle Lake","24","80","189","Elbow","Otter Tail"
"33","Finlayson","5","73","103","Elbow","Pine"
"60","Orr","6","664","1659","Elbow","St. Louis"
"22","Iron Junction","9","130","165","Elbow","St. Louis"
"30","Orr","2.8","331","742","Elephant","St. Louis"
"13","Kroschel","3.2","290","290","Eleven","Kanabec"
"49","Sturgeon Lake","7","69","109","Eleven","Pine"
"80","Akeley","14","169","790","Eleventh Crow Wing","Hubbard"
"9","Atwater","4","1054","1054","Elizabeth","Kandiyohi"
"93","Lake Itasca","13.7","73","271","Elk","Clearwater"
"29","Hoffman","6.5","97","190","Elk","Grant"
"9","Clear Lake","1.9","360","360","Elk (Big)","Sherburne"
"15","Zimmerman","2.5","353","353","Elk (Little)","Sherburne"
"10","St Augusta","5","4","4","Elkton Slough","Stearns"
"13","Eveleth","10","398","398","Elliot","St. Louis"
"25","Aitkin","n/a","389","522","Elm Island","Aitkin"
"140","Lake Elmo","14","44","206","Elmo","Washington"
"35","Cotton","9.7","110","296","Elora","St. Louis"
"70","Eveleth","15","225","673","Ely","St. Louis"
"13","Elysian","N/A","1902","1902","Elysian","Waseca"
"19","Biwabik","5","407","442","Embarrass","St. Louis"
"465","Aurora","33","12.5","156.08","Embarrass Mine Pit","St. Louis"
"13","Emily","6","664","664","Emily","Crow Wing"
"37","St.Peter","2","165","235","Emily","Lesueur"
"7","Hancock","1.5","2377","2377","Emily","Pope"
"10","Aden Hills","3","13","13","Emily","Ramsey"
"17","Howard Lake","9","177","177","Emma","Wright"
"30","Ely","11","675","1408","Ensign","Lake"
"12","Fairhaven","6","15","15","Estes","Stearns"
"90","Biwabik","8","82","366","Esquagama","St. Louis"
"31","Palisade","4","520","853","Esquagamah","Aitkin"
"64","Ottertail","14","69","194","Ethel","Otter Tail"
"30","Audubon","14.8","187","325","Eunice","Becker"
"15","Ely","8","109","109","Everett","St. Louis"
