"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"62","Richville","12","685","1664","Marion","Otter Tail"
"5","Grand Marais","4","140","126.07","Mark","Cook"
"","Lake Hubert","","","","Markee","Crow Wing"
"29","Markham","2.5","238","264","Markham","St. Louis"
"8","Woodbury","4.736","44","44","Markgrafs","Washington"
"51","Bemidji","N/A","285","504","Marquette","Beltrami"
"5","Correll","0.6","4500","4500","Marsh","Big Stone"
"5","Bloomington","5","14","14","Marsh","Hennepin"
"20","Wyoming","1.5","140","234","Martin","Anoka"
"34","Emily","4","126","380","Mary","Crow Wing"
"40","Alexandria","5.5","1020","2371","Mary","Douglas"
"102","Maple Lake","5.5","82","209","Mary","Wright"
"47","Winsted","6.5","84","196","Mary","Wright"
"12","Duluth Junction","6","31","31","Masterman","Washington"
"32","Audubon","10","300","547","Maud","Becker"
"10","Waldeck","5","11","11","Maydole Logan","Aitkin"
"20","Mayhew","5.5","66","131","Mayhew","Benton"
"22","Pequot Lakes","7","147","155","Mayo","Crow Wing"
"50","Shieldsville","2.3","336","685","Mazaska","Rice"
"29","Grand Rapids","15","101","137","McAvity","Itasca"
"11","Savage","6.4","21","22.15","McColl Pond","Scott"
"10","Eden Prairie","3.75","11","11","McCoy","Hennepin"
"43","Nay-tah-waush","11","107","268","McCraney","Mahnomen"
"46","Perham","10.2","368","935","McDonald (Big)","Otter Tail"
"109","Perham","19.1","413","1174","McDonald (Little)","Otter Tail"
"49","Hovland","15.5","203","384","McFarland","Cook"
"34","Grand Rapids","5.5","99","115","McKinney","Itasca"
"21","Hibbing","5","157","164","McQuade","St. Louis"
"44","Tenstrike","5.9","308","446","Medicine","Beltrami"
"49","Plymouth","5.5","399","886","Medicine","Hennepin"
"43","Detroit Lakes","6.6","934","1831","Melissa","Becker"
"9.5","Melrose","5","72.31","72.31","Melrose Mill Pond","Stearns"
"23","Redby","6.3","91","125","Mempin","Beltrami"
"7","Hitterdahl","1.5","N/A","108","Meyer","Clay"
"56","Battle Lake","17.5","100","194","Middle","Otter Tail"
"40","Lake Park","11.5","144","360","Middle Cormorant","Becker"
"33","Nevis","14","260","294","Middle Crooked","Hubbard"
"43","Ottertail","12","181","398","Middle Leaf","Otter Tail"
"81","Avon","10","80.8","236.3","Middle Spunk","Stearns"
"24","Bemidji","17","496","521","Midge","Hubbard"
"11","Baxter","6.24","77","77","Mile","Cass"
"40","Alexandria","11.5","240","600","Mill","Douglas"
"12","Fairhaven","2","N/A","2.0661157025","Mill Pond","Stearns"
"17","","3.6","17","18.28","Mill Pond",""
"12","","9","24","24","Mill Pond",""
"10","","9.5","171","171","Mill Pond Lake",""
"42","Garrison","N/A","33129","132516","Mille Lacs","Mille Lacs"
"174","Aurora","31","4","17","Miller Pit West","St. Louis"
"6","Cushing","2","14","14","Millers","Morrison"
"105","Miltona","9.5","2802","5838","Miltona","Douglas"
"123","Alexandria","11.5","178","424","Mina","Douglas"
"7","East Bethel","n/a","n/a","138","Minard","Anoka"
"140","Ely","14","25","141.17","Miner's Pit","St. Louis"
"16","Alida","9","218","236","Minerva","Clearwater"
"39","Maple Lake","2.7","276","301","Mink","Wright"
"8","Oak Knoll","7","4","4","Minnehaha Marsh","Hennepin"
"20+","Minnesota Lake","n/a","n/a","1911","Minnesota Lake","Faribault"
"22","Cee Jefferson","4","9600","9600","Minnesota Slough","Houston"
"113","Minnetonka","10.9","5849","14004","Minnetonka","Hennepin"
"22.5","Ruthton","5","9","10","Minnett Krantz Reservoir","Pipestone"
"70","Chanhassen","13.5","n/a","738","Minnewashta","Carver"
"32","Glenwood","7","2140","7110","Minnewaska","Pope"
"21","McGregor","3","2286","2512","Minnewawa","Aitkin"
"22","Inger","10.5","27","27","Minni-Car-Car","Itasca"
"10","Canby","5","2","2","Minni R6","Yellow Medicine"
"49","Litchfield","16","169","545","Minnie Belle","Meeker"
"36","Mt Iron","18","3000","3000","Minntac-West Pit","St. Louis"
"18","Maple Hill","15","26","26","Misplaced","Cook"
"27","Merrifield","n/a","452","698","Mission (Lower)","Crow Wing"
"36","Merrifield","14","256","817","Mission (Upper)","Crow Wing"
"8","Manganese","5","10","10","Mission Oxbow","Crow Wing"
"24","Isabella","15","105","185","Mitawan","Lake"
"78","Emily","8","118","439","Mitchell","Crow Wing"
"19","Eden Prairie","3.5","109","112","Mitchell","Hennepin"
"48","Battle Lake","11.3","63","152.05","Molly Stark","Otter Tail"
"10","Plymouth","N/A","N/A","118","Mooney","Hennepin"
"265","Trommald","26","14.9","78","Morroco Mine","Crow Wing"
"52","Northome","9","93","357","Moose","Itasca"
"65","Ely","13","262","1300","Moose","Lake"
"18","Moose Lake","4","261","292","Moosehead","Carlton"
"32","Millerville","12.5","399","822","Moses","Douglas"
"80","Mountain Pit","11","17.68","17.68","Mott Pit","St. Louis"
"12","Motley","6","8","8","Motley Oxbow","Morrison"
"57","Burtrum","13.5","88","273","Mound","Todd"
"8","South Haven","4","14","14","Mouth Slough","Wright"
"8","Mountain Lake","2","241","241","Mountain","Cottonwood"
"50","Bemidji","6.25","513","923","Movil","Beltrami"
"9","Hackensack","6","18","41","Mud","Cass"
"8","","5.312","52","68","Mud",""
"10","Perham","1.45","305","305","Mud","Otter Tail"
"12","Marty","5.44","60","66","Mud","Stearns"
"14","New London","5.4","2318","2318","Mud","Kandiyohi"
"6.5","Wheaton","3","1640","1640","Mud","Traverse"
"5","Maine Prairie","2","0.5","0.5","Mud Pit","Stearns"
"9","St Augusta","5","3","3","Mud","Stearns"
"3","St Augusta","3","9","9","Mud Slough","Stearns"
"78","Crane Lake","12","151","754","Mukooda","St. Louis"
"47","Longville","15.5","182","456","Mule","Cass"
"24","Central Lakes","4.1","261","395","Murphy","St. Louis"
"21","Kimball","5.952","45","45","Murray","Stearns"
"28","Kimball","4","43","43","Murray Island","Stearns"
"8","Kimball","3","0.5","0.5","Murray Slough","Stearns"
"16","Maple Hill","6","27","27.68","Mush","Cook"
"20","Orr","10.5","862","889","Myrtle","St. Louis"
"150","Ray","10.7","5026","11755.41","Namakan","St Louis"
"16","Lake Park","7","236","241","Nelson","Becker"
"9","Glenwood","4.5","403","403","Nelson","Pope"
"40","Spicer","9.8","525","945","Nest","Kandiyohi"
"47","White Earth","6.5","134","213","Net","Becker"
"15","Nickerson","3.7","136","136","Net","Pine"
"45","Ely","7.7","119","643","Newfound","Lake"
"31","Payne","5.1","362","413","Nichols","St. Louis"
"7","Fairhaven","3","2","2","Nina Creek Reservoir","Stearns"
"8","Port Cargill","6","38","38","Nine Mile","Hennepin"
"40","Schroeder","10","288","296","Ninemile","Lake"
"65","Akeley","9.5","95","227","Ninth Crow Wing","Hubbard"
"21","Illgen City","10.5","29","58.94","Nipisiquit","Lake"
"42","Brainerd","8","218","660","Nokay","Crow Wing"
"33","Minneapolis","2","100","204","Nokomis","Hennepin"
"29","Aitkin","10.5","272","412","Nord","Aitkin"
"10","Cyrus","4","30","30","North Baker","Stevens"
"41","Eden Valley","4.5","130","324","North Browns","Stearns"
"24","Ely","9","0.7","3.7","North Lark","Lake"
"58","Pelican Rapids","7","2380","5564","North Lida","Otter Tail"
"8","South Haven","4","10","10","North Pittman","Wright"
"112","Ridge","33","222","222","North Long Pit","St Louis"
"22","Kimball","12","0.3","0.3","North Pit","Stearns"
"90","Marcell","12.9","314","1059","North Star","Itasca"
"60","Ridge","35","32","32","North Skinny Pit","St Louis"
"n/a","Hibbing","n/a","n/a","39","North Star","St. Louis"
"14","Fergus Falls","2","745","745","North Ten Mile","Otter Tail"
"19","Underwood","9.6","1454","1484","North Turtle","Otter Tail"
"59","Turtle River","16","138","313","North Twin","Beltrami"
"42","Marble","11","73","250","North Twin","Itasca"
"16","Nay-tah-waush","9","900","901","North Twin","Mahnomen"
"7.5","Grand Marais","6","433","433","Northern Light","Cook"
"33","Sunburg","7.2","2152","2344","Norway","Kandiyohi"
"19","Underwood","3.6","242","384","Norway","Otter Tail"
"45","Remer","20","72","238","No-Ta-She-Bun(Willow)","Itasca"
"79","Taconite","13","56","189.31","O'Reilly","Itasca"
"20","Duquette","2.5","433","442","Oak","Pine"
"63","Nashwauk","12","538.96","538.96","O'Brien Reservoir","Itasca"
"22","Shakopee","1.8","235","258","O'Dowd","Scott"
"115","Ely","16","134","371","Ojibway","Lake"
"6.5","Ceylon","1.5","2294.3","2294.3","Okamanpeedan","Martin"
"35","Appleton","5","300","416","Oliver","Swift"
"8","South Haven","4","12","12","Oliver Slough","Wright"
"20","Cyrus","2","425","425","Olson","Stevens"
"10","Onamia","4.5","2142","2142","Onamia","Mille Lacs"
"13","Ely","5","363","363","One Pine","St. Louis"
"7","St Augusta","4","0.75","0.75","Open Slough","Stearns"
"33","Lakeville","8.8","177","234","Orchard","Dakota"
"6","Oak Knoll","6","4","4","Orchard","Hennepin"
"433","Gilbert","N/A","140","140","Ore-be-gone","St. Louis"
"18","Elk River","1","281","281","Orono","Sherburne"
"25","Fergus Falls","4.7","626","782","Orwell","Otter Tail"
"73","Osakis","3.5","3146","6270","Osakis","Todd"
"25","Holmes City","6","750","1040","Oscar","Douglas"
"51","Fairhaven","8.5","32","91.75","Otter","Stearns"
"120","Ottertail","10.5","6468","13725","Otter Tail","Otter Tail"
"13","Port Cargill","6","6","6","Overlook","Hennepin"
"37","Shoreview","7","293","384","Owasso","Ramsey"
"34","Bigfork","17","187","257","Owen","Itasca"
"42","Backus","12","88","166","Ox Yoke","Cass"
"4,4,4,6,5","0.25,3,1,3,0.5",,"4,8,5,12,5","0.25,3,1,3,0.5","Ox Slough 1,2,3,4,5","Maine Prairie"
"80","Lake Itasca","17","63","151","Ozawindib","Clearwater"
"5","Prairie Portage","5","19","19","Paco","Lake"
"17","Hancock","7","171","372","Page","Stevens"
"8","Brooklyn Center","5","25","25","Palmer","Hennepin"
"16","Mahtowa","9.25","375","375","Park","Carlton"
"37","Plymouth","11.5","67.7","100.17","Parkers","Hennepin"
"18","Waconia","6","231","242","Parley","Carver"
"115","Ridge","36","300","300","Patridge Quarry","St Louis"
"81","Perham","23","109","319","Paul","Otter Tail"
"54","Detroit Lakes","7","168.2","237","Pearl","Becker"
"17","Cold Spring","3.7","511","733","Pearl","Stearns"
"63","Sullivan","16.2","45","123","Peavy","Morrison"
"104","Breezy Point","19.5","3910","8253","Pelican","Crow Wing"
"21","Ashby","4","3460","3932","Pelican","Grant"
"55","Pelican Rapids","6.4","1625","3986","Pelican","Otter Tail"
"34","Glenwood","6","416","519","Pelican","Pope"
"38","Orr","9.5","5879","11546","Pelican","St. Louis"
"46","St.Anna","13.5","135","337","Pelican","Stearns"
"7","Little Falls","2.3","96","96","Pelkey","Morrison"
"18","Centerville","2.8","412","465","Peltier","Anoka"
"259","Ironton","29","7","46.68","Pennington Mine","Crow Wing"
"60","Lake City","N/A","8060","25060","Pepin","Goodhue"
"33","Rollins","9.5","240","418","Pequaywan","St. Louis"
"16.2","Ivanhoe","2","180","224","Perch","Lincoln"
"30","Chisholm","11","170","339","Perch","St. Louis"
"24","Lincoln","10.752","65","88","Perch","Morrison"
"28","Isabella","6","1368","1800","Perent","Lake"
"13","Morris","3.5","512","512","Perkins","Stevens"
"24","St. Paul","N/A","N/A","198","Phalen","Ramsey"
"91","Saint Paul","17.2","80","197. 68","Phalen","Ramsey"
"30","Kingston","12","0.459","0.459","Photograph Pond","Meeker"
"6","Albert Lea","0.5","620","620","Pickeral","Freeborn"
"37","French Lake","8","15","19","Pickeral","Wright"
"74","Detroit Lakes","17.7","123","332","Pickerel","Becker"
"26","Park Rapids","11.5","270","311","Pickerel","Hubbard"
"70","Effie","11","52","293","Pickerel","Itasca"
"78","Maine","9","274","829","Pickerel","Otter Tail"
"23","Buyck","9","121","312","Picket","St. Louis"
"40","Victoria","5.4","119","235","Pierson","Carver"
"34","Genola","7.5","65","170","Pierz","Morrison"
"26","Rollins","14","28","28","Pigeon","St Louis"
"95","Cass Lake","n/a","2238","4760","Pike","Cass"
"45","Grand Marais","17.5","218","810","Pike","Cook"
"40","Pennington","5.8","654","1268","Pimushe","Beltrami"
"78","Cutler","11.5","259","614","Pine (Big)","Aitkin"
"44","Aitkin","12.9","103","220","Pine (Little)","Aitkin"
"15","Gonvick","6.5","1188","1188","Pine","Clearwater"
"18","Cross Lake","10","387","390","Pine","Crow Wing"
"76","Perham","6","2386","4730","Pine (Big)","Otter Tail"
"63","Perham","18.5","698","1969","Pine (Little)","Otter Tail"
"14","Fairbanks","4","430","430","Pine","St. Louis"
"12","White Earth","7.84","103","103","Pine","Mahnomen"
"26","Cushing","12","124","234","Pine Island","Todd"
"80","Backus","7.3","737","1567","Pine Mountain","Cass"
"2,3","St Augusta","2,3","2.5,3","2.5,3","Pine Slough 1,2","Stearns"
"31","Dellwood","n/a","109","120","Pine Tree","Washington"
"8","Kimball","4","0.3","0.3","Pit","Stearns"
"17","Grand Rapids","7.1","24","24.21","Pit","Cook"
"7","Kimball","3.5","2","2","Pit 1","Stearns"
"120","Hinsdale","36.544","282","282","Pit 1","St. Louis"
"4","Kimball","2","0.5","0.5","Pit 2","Stearns"
"99","Old Mesaba","36","300","300","Pit 2E","St Louis"
"6","Kimball","3","0.5","0.5","Pit 3","Stearns"
"128","Old Mesada","19.904","94","94","Pit 3","St. Louis"
"7","Kimball","4","1","1","Pit 4","Stearns"
"40","Ridge","20","20","20","Pit 20","St Louis"
"25","Pillager","5","340","537.46","Placid","Cass"
"65","Bemidji","5.2","986","2529","Plantagenet","Hubbard"
"23","Sullivan","5","1694","1746","Platte","Crow Wing"
"72","Hackensack","13","410","1038","Pleasant","Cass"
"38","Underwood","13.5","235","370","Pleasant","Otter Tail"
"33","Eveleth","7","154","345","Pleasant","St. Louis"
"33","Pleasant Lake","8","100","222","Pleasant","Stearns"
"74","Annanndale","11.5","260","509","Pleasant","Wright"
"8","St Augusta","6","145","145","Plum Creek Slough","Stearns"
"","Russell","N/A","","24","Pochardt Slough Lake","Lyon"
"40","Lowry","8","138","275","Pocket","Douglas"
"112","Grand Rapids","19","1978","6612","Pokegama","Itasca"
"25","Pine City","3.3","903","1474","Pokegama","Pine"
"23","Erdahl","3","1568","1816","Pomme de Terre","Grant"
"20","Saint Paul","12","0.688","0.6887052342","Pond 6","Ramsey"
"60","Backus","17","102","347","Ponto","Cass"
"12","New Brighton","0.96","9","9","Poplar","Ramsey"
"7","North Oaks","3.264","39","39","Poplar","Ramsey"
"23","Lengby","8","39","75","Poplar","Polk"
"73","Grand Marais","10.4","290","764","Poplar","Cook"
"20","Bemidji","N/A","2035","2142","Poposky","Beltrami"
"7","Jennie","4","35","35","Popp Slough","Mcleod"
"7","Little Falls","3","7","7","Popple","Morrison"
"8","Whipholt","4","10","10.10","Popple","Cass"
"50","Togo","17.5","24","101.43","Popple","Itasca"
"18","McGregor","6","313","316","Portage","Aitkin"
"17","Park Rapids","2.8","410","412","Portage","Hubbard"
"49","Ottertail","14.2","148","265","Portage","Otter Tail"
"13","Porter","4.7","15.56","15.56","Porter Reservoir","Lincoln"
"450+","Crosby","21","","121","Portsmouth Pit","Crow Wing"
"87","Park Rapids","9","426","2100","Potato","Hubbard"
"15","Crane Lake","N/A","4","4.6","Pot Hole","St. Louis"
"41","Woodbury","n/a","n/a","58","Powers","Washington"
"31","Grand Rapids","6.5","853","1064","Prairie","Itasca"
"22","Pelican Lake","11.9","801","1016","Prairie","Otter Tail"
"47","Floodwood","4","272","848","Prairie","St. Louis"
"12","Farmington","5.9","11.24","12.35","Prairie Ponds","Dakota"
"11","Buffalo Lake","2.7","670","670","Preston","Renville"
"60","Prior Lake","9.5","373","810","Prior (Lower)","Scott"
"50","Prior Lake","3.5","329","354","Prior (Upper)","Scott"
"30","Outing","14.5","13","48","Pug Hole","Crow Wing"
"23","Grand Rapids","8.5","141","158.16","Pughole","Itasca"
"87","Buffalo","8","122","702","Pulaski","Wright"
"10","Plymouth","5","2","2","Plymouth Creek","Hennepin"
"50","","9.50","12","70.4","Quarry",""
"45","Kimball","12","18","18","Quarry 48","Stearns"
"31","Clearwater","9.5","N/A","21","Quinn","Stearns"
"6","South Haven","2.5","1","1","Quinn Slough","Wright"
"13.5","Canby","6","13","13","R4","Yellow Medicine"
"14","Canby","5","33.22","33.22","R6","Yellow Medicine"
"51","Glen","8","77","214","Rabbit","Aitkin"
"112","Blackduck","14","515","577","Rabideau","Beltrami"
"65","Holmes City","9","124","496","Rachel","Douglas"
"161","International Falls","N/A","18949","220800","Rainy","Koochiching"
"80","Maple Lake","4","135","275","Ramsey","Wright"
"18","Ramsey","1.9","52","53.24","Ramsey Mill Pond","Mower"
"21","Palisade","5.5","389","405","Rat","Aitkin"
"8","International Falls","N/A","1125","1125","Rat Root","Koochiching"
"16","Langdon","5.6","19.44","19.44","Ravine","Washington"
"36","Cloverdale","10.5","47","100","Razor","Pine"
"12","South Haven","6","14","14","Reardon Slough","Wright"
"","Ponemah","","","180999","Red (Lower)","Beltrami"
"18","","2.5","75.49","75.49","Red Lake River Reservoir",""
"22","Kensington","13","595","708","Red Rock","Douglas"
"3","St Augusta","3","0.1","0.1","Red Slough","Stearns"
"13","","8","8","8","Red Wing Pottery Pond",""
"7","South Haven","4","8","8","Redwood Slough","Wright"
"58","Elysian","12.5","110","187","Reeds","Waseca"
"23","Alexandria","6.5","1303","3722","Reno","Pope"
"41.5","Nashwauk","10","10","102.35","Reservoir Number 4","Itasca"
"16","Centerville","n/a","336","336","Reshanau","Anoka"
"16","","1.056","336","336","Reshanau",""
"8","Finlayson","5.8","111","111","Rhine","Pine"
"5","Lino Lakes","n/a","442","442","Rice","Anoka"
"25","Brainerd","6","202","434","Rice","Crow Wing"
"4","Wells","N/A","266","266","Rice","Faribault"
"12","Maple Grove","2.5","314","314","Rice","Hennepin"
"68","Grand Rapids","14.75","229","857","Rice","Itasca"
"8","Little Falls","4","323","323","Rice","Morrison"
"8","Vergas","3.3","350","350","Rice","Otter Tail"
"41","Paynesville","4.6","958","1639","Rice","Stearns"
"24","Clearwater","4.5","59","88","Rice","Wright"
"25","","6.8","202","302.25","Rice Lake Reservoir",""
"5","Owatonna","","","697","Rice","Steele"
"49","Chanhassen","2.7","109","297","Riley","Carver"
"18","Litchfield","5.5","466","558","Ripley","Meeker"
"39","Aitkin","n/a","295","556","Ripple","Aitkin"
"28","","18","5.77","5.77","Riverpointe Pond",""
"2","St Augusta","2","1.25","1.25","River Slough","Stearns"
"43","Shieldsville","1.5","393.4","625.4","Roberds","Rice"
"13","McGregor","4.8","317","317","Rock","Aitkin"
"18","Detroit Lakes","4","1001","1048","Rock","Becker"
"7.2","Russell","1","422","439","Rock","Lyon"
"40","Ely","7","42","116","Rocky","St. Louis"
"11","Markville","5.6","79.32","79.32","Rock","Pine"
"8,16,12,12","South Haven","6,6,5,6","5,3,1.5,10","5,3,1.5,10","Rockwood Slough 1,2,3,4","Wright"
"135","Riverton","20","10","25","Roe Mine","Crow Wing"
"120","Ridge","40","100","100","Rolling Pit","St Louis"
"129","Outing","15.5","390","1585","Roosevelt","Cass"
"129","Outing","15.5","390","1585","Roosevelt","Crow Wing"
"137","Vergas","9","465","1190","Rose","Otter Tail"
"90","Grand Marais","n/a","408","1315","Rose","Cook"
"30","Emily","3.5","317","487","Ross","Crow Wing"
"20","Lake Park","7","232","241","Rossman","Becker"
"27","Tamarack","n/a","375","577","Round","Aitkin"
"59","Aitkin","12","475","633","Round","Aitkin"
"125","Garrison","n/a","322","767","Round","Aitkin"
"15","Anoka","n/a","266","266","Round","Anoka"
"69","Ponsford","10","473","1087","Round","Becker"
"51","Nisswa","n/a","627","1644","Round","Crow Wing"
"40","Big Fork","11.5","239","502","Round","Itasca"
"37","Eden Prairie","12","23","31","Round","Hennepin"
"24","Squaw Lake","7","1968","2828","Round","Itasca"
"9","Round Lake","1.1","1024","1024","Round","Jackson"
"36","Ottertail","3.4","220","262","Round","Otter Tail"
"16","Zerkel","6.5","638","653","Roy","Mahnomen"
"88","Grand Rapids","12","90","243","Ruby","Itasca"
"3","Jackson","0.7","293","293","Rush","Jackson"
"68","Ottertail","4.5","3325","5338","Rush","Otter Tail"
"12","Baxter","6","50","50","Rush","Cass"
"11","Clear Lake","1.9","142","142","Rush","Sherburne"
"24","Rush City","2.4","1033","1359","Rush (East)","Chisago"
"42","Rush City","3.1","862","1464","Rush (West)","Chisago"
"39","Emily","21","200","588","Ruth","Crow Wing"
"40","Aurora","3","135","305","Sabin","St. Louis"
"13","Cordova","7","263","263","Sabre","Lesueur"
"210","Riverton","32","56","117.82","Sagamore Mine","Crow Wing"
"280","Grand Marais","N/A","","17593","Saganaga","Cook"
"50","Detroit Lakes","6","577","1246","Sallie","Becker"
"5","Bass Brook","5","10","11.2488521579","Salter Pond","Itasca"
"23","Remer","8","635","736","Sand (Big)","Cass"
"12","Remer","7","403","403","Sand (Little)","Cass"
"135","Dorset","17.3","465","1659","Sand (Big)","Hubbard"
"80","Dorset","15.5","149","386","Sand (Little)","Hubbard"
"70","Squaw Lake","7.1","1897","4328","Sand","Itasca"
"11","Isabella","4.5","476","476","Sand","Lake"
"47","Moose Lake","12.6","215","501","Sand","Pine"
"15","Virginia","12","701","701","Sand","St. Louis"
"12","Albany","2.9","202","202","Sand","Stearns"
"17","Fosston","10","510","510","Sand Hill","Polk"
"53","Ely","19.8","17.8","61","Sandpit","Lake"
"32","Tenstrike","5.3","200","260","Sandy","Beltrami"
"59","Rockford","1.8","373","574","Sarah","Hennepin"
"11","Garvin","2.5","1093","1093","Sarah","Murray"
"27","Erskine","17","180","352","Sarah","Polk"
"39","Detroit Lakes","11.5","84","212","Sauer","Becker"
"59","Sauk Centre","4.1","1389","2094","Sauk (Big)","Todd"
"29","Sauk Centre","6","161","268","Sauk (Little)","Todd"
"15","Mound","1.93","30","30","Saunders","Hennepin"
"8","Little Canada","4.5","12","12","Savage","Ramsey"
"45","Tofte","4.5","445","765","Sawbill","Cook"
"90","Frazee","15.5","67","243","Scalp","Otter Tail"
"49","Terrace","10","237","424","Scandinavian","Pope"
"65","Scanlon","5.5","45","63","Scanlon Reservoir","Carlton"
"15","Saint Nicholas","5.888","54","54","School","Stearns"
"16","Casey","7","55","55","Schoolhouse","Meeker"
"11","Cottonwood","1.55","318","318","School Grave","Lyon"
"8","Kimball","7","6","6","School Section Slough","Stearns"
"62","Munsion","8","18.3654729109","18.3654729109","Schroeder","Stearns"
"24","Cotton","7.5","140","205","Schubert (East Bass)","St. Louis"
"49","Victoria","n/a","40","105","Schutz","Carver"
,,,,,"Scooty","Itasca"
"145","Grand Marais","11.5","927","4032","Sea Gull","Cook"
"376","Ridge","42","320","320","Second Black Quarry","St Louis"
"172","Trommald","31","2.9","14.53","Section 6 Mine","Crow Wing"
"10","Crane Lake","10","35","35","Section Pond","St. Louis"
"65","Deerwood","10","338","1057","Serpent","Crow Wing"
"42","Nevis","7","120","254","Seventh Crow Wing","Hubbard"
"52","Dalton","17","168","338","Sewell","Otter Tail"
"48","Ely","8","711","2344","Shagawa","St. Louis"
"15","Onamia","5.7","675","675","Shakopee","Mille Lacs"
"3.2","Shakopee","2","14","14","Shakopee Memorial Pond","Scott"
"85","Warba","18.2","268","531","Shallow","Itasca"
"14","Alvwood","9","176","224.65","Shallow Pond","Itasca"
"56","Motley","20","746","1428","Shamineau","Morrison"
"55","Taconite","14","18","50.33","Shamrock","Itasca"
"10","Ivanhoe","2","995","995","Shaokotan","Lincoln"
"3","St Augusta","3","0.2","0.2","Sheep Slough","Stearns"
"16","Snellman","4","3070","3140","Shell","Becker"
"10","Currie","N/A","3596","3596","Shetek","Murray"
"8.5","Appleton","2","340","340","Shible","Swift"
"42","Shieldsville","8","658.1","872","Shields","Rice"
"40","Akeley","12","43","171.93","Shingobee","Hubbard"
"77","Nashwauk","13.5","114","286","Shoal","Itasca"
"7","Grand Rapids","4","645","645","Shoal","Itasca"
"15","Jeffers","3.20","20","20","Shoper-Bush Reservoir","Cottonwood"
"32","Chisholm","14","153","372","Side","St. Louis"
"39","Hawley","6","36","114","Silver","Clay"
"34","Frazee","4.7","224","247","Silver","Otter Tail"
"11","Rochester","1.3","34","50.41","Silver","Olmsted"
"8","Arlington","1","621","621","Silver","Sibley"
"45","Chester","3.5","106.52","106.52","Silver Creek Reservoir","Olmsted"
"15","Isabella","7.5","1102","1102","Silver Island","Lake"
"105","Grand Rapids","9","292","1306","Siseebakwet (Sugar)","Itasca"
"37","Aitkin","6.5","219","365","Sissabagama","Aitkin"
"68","Bena","8.3","606","1288","Six Mile","Cass"
"40","Nevis","5.7","160","320","Sixth Crow Wing","Hubbard"
"52","Ely","14.5","58","58","Skindance","Lake"
"42","Ridge","33","50","50","Skinny Pit","St Louis"
"36","Cambridge","3.8","135","226","Skogman","Isanti"
"7","Bloomington","3.6","5.7","5.7392102847","Skriebakken","Hennepin"
"7","Isabella","2.7","294","294","Slate","Lake"
"21","Sleepy Eye","2.5","203","277","Sleepy Eye","Brown"
"8","Kingston","3","12","12","Slough 737","Meeker"
"105","Ridge","33","42","42","Small Quarry","St Louis"
"12","Eden Prairie","3","53","59","Smetana","Hennepin"
"54","Garrison","13.5","181","441","Smith","Crow Wing"
"30","Alexandria","3.5","270","575","Smith","Douglas"
"51","Brimson","","74","180","Smith","St. Louis"
"16","Bloomington","3.5","8.6","7.65","Smith Pond","Hennepin"
"30","Shoreview","9","130","150","Snail","Ramsey"
"29","Nay-tah-waush","8","268","632","Snider","Mahnomen"
"85","Riverton","26","1","6.58","Snoshoe Mine","Crow Wing"
"16","Plymouth","1.03","10","10","Snyder","Hennepin"
"150","Ely","21","879","3303","Snowbank","Lake"
"21","Maple Lake","2","128","158","Somers","Wright"
"17","Maple Hill","8.5","16.15","16.15","South Bean","Cook"
"28","Finlayson","9","96","372","South Big Pine","Aitkin"
"47","Brainerd","9","461","1313","South Long (Lower)","Crow Wing"
"47","Brainerd","7","283","802","South Long (Upper)","Crow Wing"
"102","Ridge","32","70","70","South Long Pit","St Louis"
"24","Kimball","12","0.3","0.3","South Pit","Stearns"
"15","Lake Park","1.8","450","450","South Stake","Becker"
"43","Chisholm","1.9","45","192","South Sturgeon","Itasca"
"35","Underwood","15.8","398","630","South Turtle","Otter Tail"
"29","Waubun","7","525","1000","South Twin","Mahnomen"
"2","Wells","N/A","392","392","South Walnut","Faribault"
"51.5","Cambridge","11.7","157","239","Spectacle","Isanti"
"7","Clarkfield","","189+","189+","Spellman","Yellow Medicine"
"96","Nevis","15","405","544","Spider","Hubbard"
"36","Marcell","10.5","737","1349","Spider","Itasca"
"49","Bennettville","12","260","530","Spirit","Aitkin"
"45","Menahga","8.3","65","115","Spirit","Wadena"
"33","Urbank","9","631","728","Spitzer","Otter Tail"
"34","Grand Rapids","8.5","511","1420","Split Hand","Itasca"
"16","Pipestone","1.8","79","95.79","Split Rock Reservoir","Pipestone"
"85","Winton","16","87","223","Spoon","Lake"
"6","Maplewood","N/A","10","6.82","Spoon","Ramsey"
"30","Dassel","4","165","218","Spring","Meeker"
"35","Lengby","6","44","136","Spring","Polk"
"37","Prior Lake","2.3","290","580","Spring","Scott"
"65","Ridge","35","72","72","Spring North Mine Pit","St Louis"
"60","Crane Lake","15.5","49","194","Spring","St. Louis"
"125","Ridge","35","120","120","Spring South Mine Pit","St Louis"
"16","Markham","7.2","1.20","1.20","Spring Hole","St. Louis"
"68","Stillwater","2.1","65","195","Square","Washington"
"95","Underwood","7.5","575","1280","Stalker","Otter Tail"
"15","Litchfield","2.9","557","557","Star","Meeker"
"30","Lincoln","9","36","47","Star","Todd"
"94","Dent","11.4","2813","4721","Star","Otter Tail"
"66","Emily","8","n/a","215","Stark","Crow Wing"
"6","Arco","0.8","224","224","Stay","Lincoln"
