,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
840,https://companiesmarketcap.com/diversified-energy/marketcap/,588.0,Diversified Energy,DEC.L,$1.20 B,$1.43,-$0.56 B,$1.00 B,,1.426,Luxurygoods,232470970942915911
841,https://companiesmarketcap.com/diversified-energy/marketcap/,588.0,Diversified Energy,DEC.L,$1.20 B,$1.43,-$0.56 B,$1.00 B,,1.426,Consumergoods,-4654293209815127527
842,https://companiesmarketcap.com/first-commonwealth-financial-corp/marketcap/,589.0,First Commonwealth Financial Corp,FCF,$1.34 B,$14.45,$0.15 B,$0.39 B,,1.422,Entertainment,6852268802481802111
843,https://companiesmarketcap.com/first-commonwealth-financial-corp/marketcap/,589.0,First Commonwealth Financial Corp,FCF,$1.34 B,$14.45,$0.15 B,$0.39 B,,1.422,MediaPress,-6159643471181631199
844,https://companiesmarketcap.com/b-riley-financial/marketcap/,593.0,B. Riley Financial,RILY,$1.14 B,$40.14,$81.52 M,$1.01 B,,1.406,Tech,5392941245537608590
845,https://companiesmarketcap.com/b-riley-financial/marketcap/,593.0,B. Riley Financial,RILY,$1.14 B,$40.14,$81.52 M,$1.01 B,,1.406,SmartHome,-7848355702679722227
846,https://companiesmarketcap.com/walker-dunlop/marketcap/,595.0,Walker & Dunlop,WD,$3.07 B,$93.19,$0.32 B,$1.38 B,,1.4,Conglomerate,7862095367587665244
847,https://companiesmarketcap.com/forum-energy-technologies/marketcap/,597.0,Forum Energy Technologies,FET,$0.29 B,$29.08,-$1.23 M,$0.65 B,,1.4,Electronics,-4280093456798597290
848,https://companiesmarketcap.com/forum-energy-technologies/marketcap/,597.0,Forum Energy Technologies,FET,$0.29 B,$29.08,-$1.23 M,$0.65 B,,1.4,Tech,5392941245537608590
849,https://companiesmarketcap.com/forum-energy-technologies/marketcap/,597.0,Forum Energy Technologies,FET,$0.29 B,$29.08,-$1.23 M,$0.65 B,,1.4,Semiconductors,590283686970277566
850,https://companiesmarketcap.com/forum-energy-technologies/marketcap/,597.0,Forum Energy Technologies,FET,$0.29 B,$29.08,-$1.23 M,$0.65 B,,1.4,TechHardware,-5791872359498690370
851,https://companiesmarketcap.com/liveramp/marketcap/,599.0,LiveRamp,RAMP,$1.60 B,$24.16,-$82.45 M,$0.57 B,,1.4,SupermarketChains,-4069439822336842578
852,https://companiesmarketcap.com/liveramp/marketcap/,599.0,LiveRamp,RAMP,$1.60 B,$24.16,-$82.45 M,$0.57 B,,1.4,Retail,2932210656109287952
853,https://companiesmarketcap.com/first-financial-bankshares/marketcap/,600.0,First Financial Bankshares,FFIN,$5.00 B,$35.07,$0.27 B,$0.51 B,,1.4,Electronics,-4280093456798597290
854,https://companiesmarketcap.com/first-financial-bankshares/marketcap/,600.0,First Financial Bankshares,FFIN,$5.00 B,$35.07,$0.27 B,$0.51 B,,1.4,Manufacturing,2771886960464485094
855,https://companiesmarketcap.com/johnson-outdoors/marketcap/,601.0,Johnson Outdoors,JOUT,$0.70 B,$68.74,$59.04 M,$0.74 B,,1.4,Financialservices,3247786743286756867
